domainname,wallet,bid,blind
duiIlion,reppy,0.00,0.04
Iliondui,reppy,0.00,0.04
duiNyack,reppy,0.00,0.04
Nyackdui,reppy,0.00,0.04
duiOlean,reppy,0.00,0.04
Oleandui,reppy,0.00,0.04
duiUtica,reppy,0.00,0.04
Uticadui,reppy,0.00,0.04
duiFargo,reppy,0.00,0.04
Fargodui,reppy,0.00,0.04
duiMinot,reppy,0.00,0.04
Minotdui,reppy,0.00,0.04
duiRugby,reppy,0.00,0.04
Rugbydui,reppy,0.00,0.04
duiAkron,reppy,0.00,0.04
Akrondui,reppy,0.00,0.04
duiMilan,reppy,0.00,0.04
Milandui,reppy,0.00,0.04
duiParma,reppy,0.00,0.04
Parmadui,reppy,0.00,0.04
duiPiqua,reppy,0.00,0.04
Piquadui,reppy,0.00,0.04
duiXenia,reppy,0.00,0.04
Xeniadui,reppy,0.00,0.04
duiAltus,reppy,0.00,0.04
Altusdui,reppy,0.00,0.04
duiMoore,reppy,0.00,0.04
Mooredui,reppy,0.00,0.04
duiPerry,reppy,0.00,0.04
Perrydui,reppy,0.00,0.04
duiPryor,reppy,0.00,0.04
Pryordui,reppy,0.00,0.04
duiTulsa,reppy,0.00,0.04
Tulsadui,reppy,0.00,0.04
duiBurns,reppy,0.00,0.04
Burnsdui,reppy,0.00,0.04
duiAiken,reppy,0.00,0.04
Aikendui,reppy,0.00,0.04
duiHuron,reppy,0.00,0.04
Hurondui,reppy,0.00,0.04
duiAlcoa,reppy,0.00,0.04
Alcoadui,reppy,0.00,0.04
duiTexas,reppy,0.00,0.04
Texasdui,reppy,0.00,0.04
duiBryan,reppy,0.00,0.04
Bryandui,reppy,0.00,0.04
duiPampa,reppy,0.00,0.04
Pampadui,reppy,0.00,0.04
duiPecos,reppy,0.00,0.04
Pecosdui,reppy,0.00,0.04
duiPharr,reppy,0.00,0.04
Pharrdui,reppy,0.00,0.04
duiPlano,reppy,0.00,0.04
Planodui,reppy,0.00,0.04
duiTyler,reppy,0.00,0.04
Tylerdui,reppy,0.00,0.04
duiDelta,reppy,0.00,0.04
Deltadui,reppy,0.00,0.04
duiKanab,reppy,0.00,0.04
Kanabdui,reppy,0.00,0.04
duiLogan,reppy,0.00,0.04
Logandui,reppy,0.00,0.04
duiManti,reppy,0.00,0.04
Mantidui,reppy,0.00,0.04
duiNephi,reppy,0.00,0.04
Nephidui,reppy,0.00,0.04
duiOgden,reppy,0.00,0.04
Ogdendui,reppy,0.00,0.04
duiPrice,reppy,0.00,0.04
Pricedui,reppy,0.00,0.04
duiProvo,reppy,0.00,0.04
Provodui,reppy,0.00,0.04
duiBarre,reppy,0.00,0.04
Barredui,reppy,0.00,0.04
duiEssex,reppy,0.00,0.04
Essexdui,reppy,0.00,0.04
duiKelso,reppy,0.00,0.04
Kelsodui,reppy,0.00,0.04
duiPasco,reppy,0.00,0.04
Pascodui,reppy,0.00,0.04
duiWelch,reppy,0.00,0.04
Welchdui,reppy,0.00,0.04
duiRipon,reppy,0.00,0.04
Ripondui,reppy,0.00,0.04
GilaBend,reppy,0.00,0.04
ElDorado,reppy,0.00,0.04
VanBuren,reppy,0.00,0.04
DalyCity,reppy,0.00,0.04
ElCentro,reppy,0.00,0.04
PaloAlto,reppy,0.00,0.04
RedBluff,reppy,0.00,0.04
SanDiego,reppy,0.00,0.04
SanMateo,reppy,0.00,0.04
SanPedro,reppy,0.00,0.04
SantaAna,reppy,0.00,0.04
YubaCity,reppy,0.00,0.04
NewHaven,reppy,0.00,0.04
LakeCity,reppy,0.00,0.04
LaGrange,reppy,0.00,0.04
IowaCity,reppy,0.00,0.04
FortKent,reppy,0.00,0.04
AnnArbor,reppy,0.00,0.04
RoyalOak,reppy,0.00,0.04
BoysTown,reppy,0.00,0.04
RedCloud,reppy,0.00,0.04
LasVegas,reppy,0.00,0.04
HydePark,reppy,0.00,0.04
NewPaltz,reppy,0.00,0.04
NagsHead,reppy,0.00,0.04
LaGrande,reppy,0.00,0.04
RockHill,reppy,0.00,0.04
OakRidge,reppy,0.00,0.04
ParkCity,reppy,0.00,0.04
GreenBay,reppy,0.00,0.04
LaCrosse,reppy,0.00,0.04
WestBend,reppy,0.00,0.04
TenSleep,reppy,0.00,0.04
PutinBay,reppy,0.00,0.04
dwiAthens,reppy,0.00,0.04
Athensdwi,reppy,0.00,0.04
dwiAtmore,reppy,0.00,0.04
Atmoredwi,reppy,0.00,0.04
dwiAuburn,reppy,0.00,0.04
Auburndwi,reppy,0.00,0.04
dwiDothan,reppy,0.00,0.04
Dothandwi,reppy,0.00,0.04
dwiJasper,reppy,0.00,0.04
Jasperdwi,reppy,0.00,0.04
dwiMarion,reppy,0.00,0.04
Mariondwi,reppy,0.00,0.04
dwiMobile,reppy,0.00,0.04
Mobiledwi,reppy,0.00,0.04
dwiAlaska,reppy,0.00,0.04
Alaskadwi,reppy,0.00,0.04
dwiHaines,reppy,0.00,0.04
Hainesdwi,reppy,0.00,0.04
dwiJuneau,reppy,0.00,0.04
Juneaudwi,reppy,0.00,0.04
dwiKodiak,reppy,0.00,0.04
Kodiakdwi,reppy,0.00,0.04
dwiPalmer,reppy,0.00,0.04
Palmerdwi,reppy,0.00,0.04
dwiSeward,reppy,0.00,0.04
Sewarddwi,reppy,0.00,0.04
dwiValdez,reppy,0.00,0.04
Valdezdwi,reppy,0.00,0.04
dwiBisbee,reppy,0.00,0.04
Bisbeedwi,reppy,0.00,0.04
dwiOraibi,reppy,0.00,0.04
Oraibidwi,reppy,0.00,0.04
dwiTucson,reppy,0.00,0.04
Tucsondwi,reppy,0.00,0.04
dwiBenton,reppy,0.00,0.04
Bentondwi,reppy,0.00,0.04
dwiCamden,reppy,0.00,0.04
Camdendwi,reppy,0.00,0.04
dwiConway,reppy,0.00,0.04
Conwaydwi,reppy,0.00,0.04
dwiHelena,reppy,0.00,0.04
Helenadwi,reppy,0.00,0.04
dwiRogers,reppy,0.00,0.04
Rogersdwi,reppy,0.00,0.04
dwiSearcy,reppy,0.00,0.04
Searcydwi,reppy,0.00,0.04
dwiCarmel,reppy,0.00,0.04
Carmeldwi,reppy,0.00,0.04
dwiCorona,reppy,0.00,0.04
Coronadwi,reppy,0.00,0.04
dwiDowney,reppy,0.00,0.04
Downeydwi,reppy,0.00,0.04
dwiEureka,reppy,0.00,0.04
Eurekadwi,reppy,0.00,0.04
dwiFresno,reppy,0.00,0.04
Fresnodwi,reppy,0.00,0.04
dwiIrvine,reppy,0.00,0.04
Irvinedwi,reppy,0.00,0.04
dwiLompoc,reppy,0.00,0.04
Lompocdwi,reppy,0.00,0.04
dwiMalibu,reppy,0.00,0.04
Malibudwi,reppy,0.00,0.04
dwiMerced,reppy,0.00,0.04
Merceddwi,reppy,0.00,0.04
dwiNovato,reppy,0.00,0.04
Novatodwi,reppy,0.00,0.04
dwiOrange,reppy,0.00,0.04
Orangedwi,reppy,0.00,0.04
dwiOxnard,reppy,0.00,0.04
Oxnarddwi,reppy,0.00,0.04
dwiPomona,reppy,0.00,0.04
Pomonadwi,reppy,0.00,0.04
dwiSonoma,reppy,0.00,0.04
Sonomadwi,reppy,0.00,0.04
dwiAurora,reppy,0.00,0.04
Auroradwi,reppy,0.00,0.04
dwiClimax,reppy,0.00,0.04
Climaxdwi,reppy,0.00,0.04
dwiCortez,reppy,0.00,0.04
Cortezdwi,reppy,0.00,0.04
dwiDenver,reppy,0.00,0.04
Denverdwi,reppy,0.00,0.04
dwiGolden,reppy,0.00,0.04
Goldendwi,reppy,0.00,0.04
dwiPueblo,reppy,0.00,0.04
Pueblodwi,reppy,0.00,0.04
dwiBerlin,reppy,0.00,0.04
Berlindwi,reppy,0.00,0.04
dwiDarien,reppy,0.00,0.04
Dariendwi,reppy,0.00,0.04
dwiGroton,reppy,0.00,0.04
Grotondwi,reppy,0.00,0.04
dwiHamden,reppy,0.00,0.04
Hamdendwi,reppy,0.00,0.04
dwiMystic,reppy,0.00,0.04
Mysticdwi,reppy,0.00,0.04
dwiNewark,reppy,0.00,0.04
Newarkdwi,reppy,0.00,0.04
dwiSmyrna,reppy,0.00,0.04
Smyrnadwi,reppy,0.00,0.04
dwiBartow,reppy,0.00,0.04
Bartowdwi,reppy,0.00,0.04
dwiNaples,reppy,0.00,0.04
Naplesdwi,reppy,0.00,0.04
dwiVenice,reppy,0.00,0.04
Venicedwi,reppy,0.00,0.04
dwiAlbany,reppy,0.00,0.04
Albanydwi,reppy,0.00,0.04
dwiDalton,reppy,0.00,0.04
Daltondwi,reppy,0.00,0.04
dwiPlains,reppy,0.00,0.04
Plainsdwi,reppy,0.00,0.04
dwiToccoa,reppy,0.00,0.04
Toccoadwi,reppy,0.00,0.04
dwiHawaii,reppy,0.00,0.04
Hawaiidwi,reppy,0.00,0.04
dwiWaimea,reppy,0.00,0.04
Waimeadwi,reppy,0.00,0.04
dwiMoscow,reppy,0.00,0.04
Moscowdwi,reppy,0.00,0.04
dwiArthur,reppy,0.00,0.04
Arthurdwi,reppy,0.00,0.04
dwiCanton,reppy,0.00,0.04
Cantondwi,reppy,0.00,0.04
dwiCicero,reppy,0.00,0.04
Cicerodwi,reppy,0.00,0.04
dwiDeKalb,reppy,0.00,0.04
DeKalbdwi,reppy,0.00,0.04
dwiGalena,reppy,0.00,0.04
Galenadwi,reppy,0.00,0.04
dwiHerrin,reppy,0.00,0.04
Herrindwi,reppy,0.00,0.04
dwiJoliet,reppy,0.00,0.04
Jolietdwi,reppy,0.00,0.04
dwiMacomb,reppy,0.00,0.04
Macombdwi,reppy,0.00,0.04
dwiMoline,reppy,0.00,0.04
Molinedwi,reppy,0.00,0.04
dwiNauvoo,reppy,0.00,0.04
Nauvoodwi,reppy,0.00,0.04
dwiNormal,reppy,0.00,0.04
Normaldwi,reppy,0.00,0.04
dwiOregon,reppy,0.00,0.04
Oregondwi,reppy,0.00,0.04
dwiOttawa,reppy,0.00,0.04
Ottawadwi,reppy,0.00,0.04
dwiPeoria,reppy,0.00,0.04
Peoriadwi,reppy,0.00,0.04
dwiQuincy,reppy,0.00,0.04
Quincydwi,reppy,0.00,0.04
dwiSkokie,reppy,0.00,0.04
Skokiedwi,reppy,0.00,0.04
dwiSummit,reppy,0.00,0.04
Summitdwi,reppy,0.00,0.04
dwiUrbana,reppy,0.00,0.04
Urbanadwi,reppy,0.00,0.04
dwiVirden,reppy,0.00,0.04
Virdendwi,reppy,0.00,0.04
dwiElwood,reppy,0.00,0.04
Elwooddwi,reppy,0.00,0.04
dwiGeneva,reppy,0.00,0.04
Genevadwi,reppy,0.00,0.04
dwiGoshen,reppy,0.00,0.04
Goshendwi,reppy,0.00,0.04
dwiHobart,reppy,0.00,0.04
Hobartdwi,reppy,0.00,0.04
dwiKokomo,reppy,0.00,0.04
Kokomodwi,reppy,0.00,0.04
dwiMuncie,reppy,0.00,0.04
Munciedwi,reppy,0.00,0.04
dwiWabash,reppy,0.00,0.04
Wabashdwi,reppy,0.00,0.04
dwiKeokuk,reppy,0.00,0.04
Keokukdwi,reppy,0.00,0.04
dwiNewton,reppy,0.00,0.04
Newtondwi,reppy,0.00,0.04
dwiKansas,reppy,0.00,0.04
Kansasdwi,reppy,0.00,0.04
dwiOlathe,reppy,0.00,0.04
Olathedwi,reppy,0.00,0.04
dwiSalina,reppy,0.00,0.04
Salinadwi,reppy,0.00,0.04
dwiTopeka,reppy,0.00,0.04
Topekadwi,reppy,0.00,0.04
dwiHarlan,reppy,0.00,0.04
Harlandwi,reppy,0.00,0.04
dwiHazard,reppy,0.00,0.04
Hazarddwi,reppy,0.00,0.04
dwiGretna,reppy,0.00,0.04
Gretnadwi,reppy,0.00,0.04
dwiMonroe,reppy,0.00,0.04
Monroedwi,reppy,0.00,0.04
dwiRuston,reppy,0.00,0.04
Rustondwi,reppy,0.00,0.04
dwiBangor,reppy,0.00,0.04
Bangordwi,reppy,0.00,0.04
dwiCalais,reppy,0.00,0.04
Calaisdwi,reppy,0.00,0.04
dwiEaston,reppy,0.00,0.04
Eastondwi,reppy,0.00,0.04
dwiElkton,reppy,0.00,0.04
Elktondwi,reppy,0.00,0.04
dwiLaurel,reppy,0.00,0.04
Laureldwi,reppy,0.00,0.04
dwiTowson,reppy,0.00,0.04
Towsondwi,reppy,0.00,0.04
dwiBoston,reppy,0.00,0.04
Bostondwi,reppy,0.00,0.04
dwiBourne,reppy,0.00,0.04
Bournedwi,reppy,0.00,0.04
dwiDedham,reppy,0.00,0.04
Dedhamdwi,reppy,0.00,0.04
dwiDennis,reppy,0.00,0.04
Dennisdwi,reppy,0.00,0.04
dwiLowell,reppy,0.00,0.04
Lowelldwi,reppy,0.00,0.04
dwiLudlow,reppy,0.00,0.04
Ludlowdwi,reppy,0.00,0.04
dwiMalden,reppy,0.00,0.04
Maldendwi,reppy,0.00,0.04
dwiMilton,reppy,0.00,0.04
Miltondwi,reppy,0.00,0.04
dwiNahant,reppy,0.00,0.04
Nahantdwi,reppy,0.00,0.04
dwiNatick,reppy,0.00,0.04
Natickdwi,reppy,0.00,0.04
dwiNorton,reppy,0.00,0.04
Nortondwi,reppy,0.00,0.04
dwiRevere,reppy,0.00,0.04
Reveredwi,reppy,0.00,0.04
dwiSaugus,reppy,0.00,0.04
Saugusdwi,reppy,0.00,0.04
dwiWoburn,reppy,0.00,0.04
Woburndwi,reppy,0.00,0.04
dwiAdrian,reppy,0.00,0.04
Adriandwi,reppy,0.00,0.04
dwiEcorse,reppy,0.00,0.04
Ecorsedwi,reppy,0.00,0.04
dwiWarren,reppy,0.00,0.04
Warrendwi,reppy,0.00,0.04
dwiAustin,reppy,0.00,0.04
Austindwi,reppy,0.00,0.04
dwiDuluth,reppy,0.00,0.04
Duluthdwi,reppy,0.00,0.04
dwiWinona,reppy,0.00,0.04
Winonadwi,reppy,0.00,0.04
dwiBiloxi,reppy,0.00,0.04
Biloxidwi,reppy,0.00,0.04
dwiOxford,reppy,0.00,0.04
Oxforddwi,reppy,0.00,0.04
dwiTupelo,reppy,0.00,0.04
Tupelodwi,reppy,0.00,0.04
dwiFulton,reppy,0.00,0.04
Fultondwi,reppy,0.00,0.04
dwiJoplin,reppy,0.00,0.04
Joplindwi,reppy,0.00,0.04
dwiMexico,reppy,0.00,0.04
Mexicodwi,reppy,0.00,0.04
dwiMonett,reppy,0.00,0.04
Monettdwi,reppy,0.00,0.04
dwiNeosho,reppy,0.00,0.04
Neoshodwi,reppy,0.00,0.04
dwiDillon,reppy,0.00,0.04
Dillondwi,reppy,0.00,0.04
dwiMcCook,reppy,0.00,0.04
McCookdwi,reppy,0.00,0.04
dwiMinden,reppy,0.00,0.04
Mindendwi,reppy,0.00,0.04
dwiSidney,reppy,0.00,0.04
Sidneydwi,reppy,0.00,0.04
dwiNevada,reppy,0.00,0.04
Nevadadwi,reppy,0.00,0.04
dwiFallon,reppy,0.00,0.04
Fallondwi,reppy,0.00,0.04
dwiSparks,reppy,0.00,0.04
Sparksdwi,reppy,0.00,0.04
dwiDurham,reppy,0.00,0.04
Durhamdwi,reppy,0.00,0.04
dwiExeter,reppy,0.00,0.04
Exeterdwi,reppy,0.00,0.04
dwiNashua,reppy,0.00,0.04
Nashuadwi,reppy,0.00,0.04
dwiEdison,reppy,0.00,0.04
Edisondwi,reppy,0.00,0.04
dwiTotowa,reppy,0.00,0.04
Totowadwi,reppy,0.00,0.04
dwiClovis,reppy,0.00,0.04
Clovisdwi,reppy,0.00,0.04
dwiDeming,reppy,0.00,0.04
Demingdwi,reppy,0.00,0.04
dwiGallup,reppy,0.00,0.04
Gallupdwi,reppy,0.00,0.04
dwiGrants,reppy,0.00,0.04
Grantsdwi,reppy,0.00,0.04
dwiBeacon,reppy,0.00,0.04
Beacondwi,reppy,0.00,0.04
dwiCohoes,reppy,0.00,0.04
Cohoesdwi,reppy,0.00,0.04
dwiElmira,reppy,0.00,0.04
Elmiradwi,reppy,0.00,0.04
dwiHarlem,reppy,0.00,0.04
Harlemdwi,reppy,0.00,0.04
dwiHudson,reppy,0.00,0.04
Hudsondwi,reppy,0.00,0.04
dwiIthaca,reppy,0.00,0.04
Ithacadwi,reppy,0.00,0.04
dwiOneida,reppy,0.00,0.04
Oneidadwi,reppy,0.00,0.04
dwiOswego,reppy,0.00,0.04
Oswegodwi,reppy,0.00,0.04
dwiQueens,reppy,0.00,0.04
Queensdwi,reppy,0.00,0.04
dwiShelby,reppy,0.00,0.04
Shelbydwi,reppy,0.00,0.04
dwiWilson,reppy,0.00,0.04
Wilsondwi,reppy,0.00,0.04
dwiMandan,reppy,0.00,0.04
Mandandwi,reppy,0.00,0.04
dwiDayton,reppy,0.00,0.04
Daytondwi,reppy,0.00,0.04
dwiElyria,reppy,0.00,0.04
Elyriadwi,reppy,0.00,0.04
dwiEuclid,reppy,0.00,0.04
Eucliddwi,reppy,0.00,0.04
dwiLorain,reppy,0.00,0.04
Loraindwi,reppy,0.00,0.04
dwiMentor,reppy,0.00,0.04
Mentordwi,reppy,0.00,0.04
dwiTiffin,reppy,0.00,0.04
Tiffindwi,reppy,0.00,0.04
dwiToledo,reppy,0.00,0.04
Toledodwi,reppy,0.00,0.04
dwiDuncan,reppy,0.00,0.04
Duncandwi,reppy,0.00,0.04
dwiDurant,reppy,0.00,0.04
Durantdwi,reppy,0.00,0.04
dwiEdmond,reppy,0.00,0.04
Edmonddwi,reppy,0.00,0.04
dwiGuymon,reppy,0.00,0.04
Guymondwi,reppy,0.00,0.04
dwiLawton,reppy,0.00,0.04
Lawtondwi,reppy,0.00,0.04
dwiNorman,reppy,0.00,0.04
Normandwi,reppy,0.00,0.04
dwiVinita,reppy,0.00,0.04
Vinitadwi,reppy,0.00,0.04
dwiWewoka,reppy,0.00,0.04
Wewokadwi,reppy,0.00,0.04
dwiEugene,reppy,0.00,0.04
Eugenedwi,reppy,0.00,0.04
dwiSharon,reppy,0.00,0.04
Sharondwi,reppy,0.00,0.04
dwiSumter,reppy,0.00,0.04
Sumterdwi,reppy,0.00,0.04
dwiCuster,reppy,0.00,0.04
Custerdwi,reppy,0.00,0.04
dwiPierre,reppy,0.00,0.04
Pierredwi,reppy,0.00,0.04
dwiNorris,reppy,0.00,0.04
Norrisdwi,reppy,0.00,0.04
dwiAlpine,reppy,0.00,0.04
Alpinedwi,reppy,0.00,0.04
dwiBorger,reppy,0.00,0.04
Borgerdwi,reppy,0.00,0.04
dwiCanyon,reppy,0.00,0.04
Canyondwi,reppy,0.00,0.04
dwiDallas,reppy,0.00,0.04
Dallasdwi,reppy,0.00,0.04
dwiDenton,reppy,0.00,0.04
Dentondwi,reppy,0.00,0.04
dwiGoliad,reppy,0.00,0.04
Goliaddwi,reppy,0.00,0.04
dwiIrving,reppy,0.00,0.04
Irvingdwi,reppy,0.00,0.04
dwiLaredo,reppy,0.00,0.04
Laredodwi,reppy,0.00,0.04
dwiLufkin,reppy,0.00,0.04
Lufkindwi,reppy,0.00,0.04
dwiOdessa,reppy,0.00,0.04
Odessadwi,reppy,0.00,0.04
dwiTemple,reppy,0.00,0.04
Templedwi,reppy,0.00,0.04
dwiUvalde,reppy,0.00,0.04
Uvaldedwi,reppy,0.00,0.04
dwiYsleta,reppy,0.00,0.04
Ysletadwi,reppy,0.00,0.04
dwiLayton,reppy,0.00,0.04
Laytondwi,reppy,0.00,0.04
dwiMurray,reppy,0.00,0.04
Murraydwi,reppy,0.00,0.04
dwiPayson,reppy,0.00,0.04
Paysondwi,reppy,0.00,0.04
dwiTooele,reppy,0.00,0.04
Tooeledwi,reppy,0.00,0.04
dwiVernal,reppy,0.00,0.04
Vernaldwi,reppy,0.00,0.04
dwiReston,reppy,0.00,0.04
Restondwi,reppy,0.00,0.04
dwiRenton,reppy,0.00,0.04
Rentondwi,reppy,0.00,0.04
dwiTacoma,reppy,0.00,0.04
Tacomadwi,reppy,0.00,0.04
dwiYakima,reppy,0.00,0.04
Yakimadwi,reppy,0.00,0.04
dwiElkins,reppy,0.00,0.04
Elkinsdwi,reppy,0.00,0.04
dwiHinton,reppy,0.00,0.04
Hintondwi,reppy,0.00,0.04
dwiKeyser,reppy,0.00,0.04
Keyserdwi,reppy,0.00,0.04
dwiRomney,reppy,0.00,0.04
Romneydwi,reppy,0.00,0.04
dwiWeston,reppy,0.00,0.04
Westondwi,reppy,0.00,0.04
dwiBeloit,reppy,0.00,0.04
Beloitdwi,reppy,0.00,0.04
dwiNeenah,reppy,0.00,0.04
Neenahdwi,reppy,0.00,0.04
dwiOconto,reppy,0.00,0.04
Ocontodwi,reppy,0.00,0.04
dwiRacine,reppy,0.00,0.04
Racinedwi,reppy,0.00,0.04
dwiWausau,reppy,0.00,0.04
Wausaudwi,reppy,0.00,0.04
dwiCasper,reppy,0.00,0.04
Casperdwi,reppy,0.00,0.04
dwiLander,reppy,0.00,0.04
Landerdwi,reppy,0.00,0.04
dwiPowell,reppy,0.00,0.04
Powelldwi,reppy,0.00,0.04
dwiDeLand,reppy,0.00,0.04
DeLanddwi,reppy,0.00,0.04
dwiNewUlm,reppy,0.00,0.04
NewUlmdwi,reppy,0.00,0.04
dwiElReno,reppy,0.00,0.04
ElRenodwi,reppy,0.00,0.04
dwiDeSmet,reppy,0.00,0.04
DeSmetdwi,reppy,0.00,0.04
dwiDelRio,reppy,0.00,0.04
DelRiodwi,reppy,0.00,0.04
dwiElPaso,reppy,0.00,0.04
ElPasodwi,reppy,0.00,0.04
duiAthens,reppy,0.00,0.04
Athensdui,reppy,0.00,0.04
duiAtmore,reppy,0.00,0.04
Atmoredui,reppy,0.00,0.04
duiAuburn,reppy,0.00,0.04
Auburndui,reppy,0.00,0.04
duiDothan,reppy,0.00,0.04
Dothandui,reppy,0.00,0.04
duiJasper,reppy,0.00,0.04
Jasperdui,reppy,0.00,0.04
duiMarion,reppy,0.00,0.04
Mariondui,reppy,0.00,0.04
duiMobile,reppy,0.00,0.04
Mobiledui,reppy,0.00,0.04
duiAlaska,reppy,0.00,0.04
Alaskadui,reppy,0.00,0.04
duiHaines,reppy,0.00,0.04
Hainesdui,reppy,0.00,0.04
duiJuneau,reppy,0.00,0.04
Juneaudui,reppy,0.00,0.04
duiKodiak,reppy,0.00,0.04
Kodiakdui,reppy,0.00,0.04
duiPalmer,reppy,0.00,0.04
Palmerdui,reppy,0.00,0.04
duiSeward,reppy,0.00,0.04
Sewarddui,reppy,0.00,0.04
duiValdez,reppy,0.00,0.04
Valdezdui,reppy,0.00,0.04
duiBisbee,reppy,0.00,0.04
Bisbeedui,reppy,0.00,0.04
duiOraibi,reppy,0.00,0.04
Oraibidui,reppy,0.00,0.04
duiTucson,reppy,0.00,0.04
Tucsondui,reppy,0.00,0.04
duiBenton,reppy,0.00,0.04
Bentondui,reppy,0.00,0.04
duiCamden,reppy,0.00,0.04
Camdendui,reppy,0.00,0.04
duiConway,reppy,0.00,0.04
Conwaydui,reppy,0.00,0.04
duiHelena,reppy,0.00,0.04
Helenadui,reppy,0.00,0.04
duiRogers,reppy,0.00,0.04
Rogersdui,reppy,0.00,0.04
duiSearcy,reppy,0.00,0.04
Searcydui,reppy,0.00,0.04
duiCarmel,reppy,0.00,0.04
Carmeldui,reppy,0.00,0.04
duiCorona,reppy,0.00,0.04
Coronadui,reppy,0.00,0.04
duiDowney,reppy,0.00,0.04
Downeydui,reppy,0.00,0.04
duiEureka,reppy,0.00,0.04
Eurekadui,reppy,0.00,0.04
duiFresno,reppy,0.00,0.04
Fresnodui,reppy,0.00,0.04
duiIrvine,reppy,0.00,0.04
Irvinedui,reppy,0.00,0.04
duiLompoc,reppy,0.00,0.04
Lompocdui,reppy,0.00,0.04
duiMalibu,reppy,0.00,0.04
Malibudui,reppy,0.00,0.04
duiMerced,reppy,0.00,0.04
Merceddui,reppy,0.00,0.04
duiNovato,reppy,0.00,0.04
Novatodui,reppy,0.00,0.04
duiOrange,reppy,0.00,0.04
Orangedui,reppy,0.00,0.04
duiOxnard,reppy,0.00,0.04
Oxnarddui,reppy,0.00,0.04
duiPomona,reppy,0.00,0.04
Pomonadui,reppy,0.00,0.04
duiSonoma,reppy,0.00,0.04
Sonomadui,reppy,0.00,0.04
duiAurora,reppy,0.00,0.04
Auroradui,reppy,0.00,0.04
duiClimax,reppy,0.00,0.04
Climaxdui,reppy,0.00,0.04
duiCortez,reppy,0.00,0.04
Cortezdui,reppy,0.00,0.04
duiDenver,reppy,0.00,0.04
Denverdui,reppy,0.00,0.04
duiGolden,reppy,0.00,0.04
Goldendui,reppy,0.00,0.04
duiPueblo,reppy,0.00,0.04
Pueblodui,reppy,0.00,0.04
duiBerlin,reppy,0.00,0.04
Berlindui,reppy,0.00,0.04
duiDarien,reppy,0.00,0.04
Dariendui,reppy,0.00,0.04
duiGroton,reppy,0.00,0.04
Grotondui,reppy,0.00,0.04
duiHamden,reppy,0.00,0.04
Hamdendui,reppy,0.00,0.04
duiMystic,reppy,0.00,0.04
Mysticdui,reppy,0.00,0.04
duiNewark,reppy,0.00,0.04
Newarkdui,reppy,0.00,0.04
duiSmyrna,reppy,0.00,0.04
Smyrnadui,reppy,0.00,0.04
duiBartow,reppy,0.00,0.04
Bartowdui,reppy,0.00,0.04
duiNaples,reppy,0.00,0.04
Naplesdui,reppy,0.00,0.04
duiVenice,reppy,0.00,0.04
Venicedui,reppy,0.00,0.04
duiAlbany,reppy,0.00,0.04
Albanydui,reppy,0.00,0.04
duiDalton,reppy,0.00,0.04
Daltondui,reppy,0.00,0.04
duiPlains,reppy,0.00,0.04
Plainsdui,reppy,0.00,0.04
duiToccoa,reppy,0.00,0.04
Toccoadui,reppy,0.00,0.04
duiHawaii,reppy,0.00,0.04
Hawaiidui,reppy,0.00,0.04
duiWaimea,reppy,0.00,0.04
Waimeadui,reppy,0.00,0.04
duiMoscow,reppy,0.00,0.04
Moscowdui,reppy,0.00,0.04
duiArthur,reppy,0.00,0.04
Arthurdui,reppy,0.00,0.04
duiCanton,reppy,0.00,0.04
Cantondui,reppy,0.00,0.04
duiCicero,reppy,0.00,0.04
Cicerodui,reppy,0.00,0.04
duiDeKalb,reppy,0.00,0.04
DeKalbdui,reppy,0.00,0.04
duiGalena,reppy,0.00,0.04
Galenadui,reppy,0.00,0.04
duiHerrin,reppy,0.00,0.04
Herrindui,reppy,0.00,0.04
duiJoliet,reppy,0.00,0.04
Jolietdui,reppy,0.00,0.04
duiMacomb,reppy,0.00,0.04
Macombdui,reppy,0.00,0.04
duiMoline,reppy,0.00,0.04
Molinedui,reppy,0.00,0.04
duiNauvoo,reppy,0.00,0.04
Nauvoodui,reppy,0.00,0.04
duiNormal,reppy,0.00,0.04
Normaldui,reppy,0.00,0.04
duiOregon,reppy,0.00,0.04
Oregondui,reppy,0.00,0.04
duiOttawa,reppy,0.00,0.04
Ottawadui,reppy,0.00,0.04
duiPeoria,reppy,0.00,0.04
Peoriadui,reppy,0.00,0.04
duiQuincy,reppy,0.00,0.04
Quincydui,reppy,0.00,0.04
duiSkokie,reppy,0.00,0.04
Skokiedui,reppy,0.00,0.04
duiSummit,reppy,0.00,0.04
Summitdui,reppy,0.00,0.04
duiUrbana,reppy,0.00,0.04
Urbanadui,reppy,0.00,0.04
duiVirden,reppy,0.00,0.04
Virdendui,reppy,0.00,0.04
duiElwood,reppy,0.00,0.04
Elwooddui,reppy,0.00,0.04
duiGeneva,reppy,0.00,0.04
Genevadui,reppy,0.00,0.04
duiGoshen,reppy,0.00,0.04
Goshendui,reppy,0.00,0.04
duiHobart,reppy,0.00,0.04
Hobartdui,reppy,0.00,0.04
duiKokomo,reppy,0.00,0.04
Kokomodui,reppy,0.00,0.04
duiMuncie,reppy,0.00,0.04
Munciedui,reppy,0.00,0.04
duiWabash,reppy,0.00,0.04
Wabashdui,reppy,0.00,0.04
duiKeokuk,reppy,0.00,0.04
Keokukdui,reppy,0.00,0.04
